Price,Open,High,Low,Close,Volume
Ticker,005930.KS,005930.KS,005930.KS,005930.KS,005930.KS
Date,,,,,
2021-03-25,73997.20491456281,75002.10522821736,73814.49576662562,74179.9140625,14758826
2021-03-26,74362.60638420246,74545.31549079755,73997.18817101227,74453.9609375,12845778
2021-03-29,74636.67487170649,74636.67487170649,73997.19295726102,74545.3203125,14952134
2021-03-30,74876.57755474452,75518.90113670925,74601.29601961678,75427.140625,13121698
2021-03-31,75610.65978194102,75885.94131027334,74693.0546875,74693.0546875,17240518
2021-04-01,75702.42668124246,76161.22926718938,75243.62409529554,76069.46875,18676461
2021-04-02,77078.82996757075,78179.95610996462,76987.0694557046,77812.9140625,22997538
2021-04-05,78730.52645638173,78914.0474970726,77812.92125292741,78363.484375,16255990
2021-04-06,79097.56008357558,79097.56008357558,78088.19446765988,78914.0390625,19042023
2021-04-07,79005.80257009345,79097.56308411215,78363.47897196261,78547.0,17885538
2021-04-08,78638.75349579398,78638.75349579398,77170.58540252362,77721.1484375,19244259
2021-04-09,77721.1388774671,77904.65986655203,76528.25244841506,76711.7734375,18193707
2021-04-12,77170.5867544321,77170.5867544321,76252.98168006311,76344.7421875,12915282
2021-04-13,76161.23846726191,77537.64639136905,75977.7174107143,77078.84375,15238206
2021-04-14,77078.84375,77354.12533482144,76528.28058035714,77078.84375,13794652
2021-04-15,76803.54391163793,77537.62796336207,76528.26239224138,77170.5859375,16377412
2021-04-16,77721.14652860547,77721.14652860547,76711.78098927294,76987.0625,15429522
2021-04-19,76895.31823979592,77078.83928571429,76436.515625,76436.515625,15287311
2021-04-20,76436.49947854588,77078.82300357569,76252.97847139451,76987.0625,15521965
2021-04-21,76436.51900158898,76620.04005561442,75702.43478548729,75794.1953125,21636079
2021-04-22,76069.45877578884,76161.2192809466,75610.65625,75610.65625,13934746
2021-04-23,75151.87398097826,76069.4792798913,74876.59239130434,75977.71875,17805080
2021-04-26,76069.46039483533,76620.0234375,75794.178873503,76620.0234375,15489938
2021-04-27,76344.75030156816,76436.51081875754,75702.42668124246,76069.46875,12941533
2021-04-28,76344.74056029232,76344.74056029232,75335.375,75335.375,15596759
2021-04-29,75610.65950122398,75702.42001032742,74784.81491929315,74968.3359375,20000973
2021-04-30,75151.84667369632,75335.36766679448,74784.8046875,74784.8046875,18673197
2021-05-03,74326.012373776,75610.65950122398,74326.012373776,74968.3359375,15710336
2021-05-04,75151.87162341102,75794.1953125,75060.11109639831,75794.1953125,12532550
2021-05-06,74968.35089801034,75518.9140625,74968.35089801034,75518.9140625,17047511
2021-05-07,75060.11446886447,75335.39606227106,74784.83287545787,75151.875,14154882
2021-05-10,75518.8976205679,76620.0237098107,75060.09508338342,76344.7421875,19385027
2021-05-11,75702.44164678264,75794.20218211207,74417.79415217057,74509.5546875,28996680
2021-05-12,74142.498203125,74509.5402734375,73224.89302734374,73408.4140625,35812268
2021-05-13,72399.04203821656,73041.36560509553,71940.23949044586,72032.0,31490096
2021-05-14,72490.79851357678,73683.68507139513,72399.0380091292,73500.1640625,16450920
2021-05-17,74142.48539572864,74234.24589745603,72674.31736809046,73041.359375,17740855
2021-05-18,73041.359375,73408.40138190954,72582.55686636307,73041.359375,17494407
2021-05-20,72857.84105738995,73133.12257272012,72582.55954205975,72949.6015625,16541828
2021-05-21,73500.1640625,74784.81112476591,73224.8825491573,73500.1640625,20961714
2021-05-24,73500.1827360414,73775.46431932246,72949.6195694793,73133.140625,13398666
2021-05-25,73408.4167709637,73775.45885481853,73224.89572903629,73316.65625,13628942
2021-05-26,73775.43796992481,73867.19846491229,73133.11450501253,73224.875,11984359
2021-05-27,73408.40138190954,73408.40138190954,72582.55686636307,73041.359375,23198510
2021-05-28,73224.8825491573,73775.44557584269,72857.84053136704,73500.1640625,12360199
2021-05-31,73683.68991653727,73958.97144798137,73041.36634316771,73867.2109375,13321324
2021-06-01,73867.23165128722,74601.31594098946,73500.1895064361,73958.9921875,14058401
2021-06-02,73775.45792079208,74693.06311881189,73683.6974009901,74142.5,16414644
2021-06-03,74601.31080163043,76161.23980978261,74417.78974184782,75977.71875,29546007
2021-06-04,75885.94318354623,75885.94318354623,74784.81704303528,75427.140625,18112259
2021-06-07,75885.95924908425,75977.71978021978,74876.5934065934,75151.875,16496197
2021-06-08,75518.91712454212,75794.19871794872,75060.11446886447,75151.875,12781226
2021-06-09,74784.8154766492,75243.61802558569,74417.7734375,74417.7734375,14908823
2021-06-10,74601.29716435185,74693.05767746913,74234.25511188271,74326.015625,17586995
2021-06-11,74509.53665123456,74968.33921682098,74050.73408564815,74326.015625,14087962
2021-06-14,74142.4924689441,74234.25297942547,73867.2109375,73867.2109375,10550078
2021-06-15,74234.2578125,74509.5393618665,73958.9762631335,74234.2578125,10075685
2021-06-16,74784.82001642726,75151.86207785759,74417.77795499694,75060.1015625,14999855
2021-06-17,74417.778845411,74601.299878322,74050.736779589,74234.2578125,14007385
2021-06-18,74417.7740003882,74417.7740003882,73867.2109375,73867.2109375,14916721
2021-06-21,73133.13520807259,73408.4167709637,73041.37468710888,73316.65625,16063340
2021-06-22,73591.93509765626,73683.69561523438,73316.65354492188,73408.4140625,11773365
2021-06-23,73867.20608029026,73958.96658473782,73316.64305360487,73500.1640625,13856548
2021-06-24,73775.47040486454,74693.07575815887,73500.18879887623,74509.5546875,18771080
2021-06-25,74784.81761259191,75151.85966222426,74509.53607536765,74876.578125,13481405
2021-06-28,74968.35393772894,75243.63553113553,74876.5934065934,75151.875,11578529
2021-06-29,75484.57899305555,75668.91251929011,74470.74459876542,74655.078125,15744317
2021-06-30,74747.24517890335,75023.74546933085,74378.578125,74378.578125,13288643
2021-07-01,74194.245181804,74286.411946005,73733.411360799,73825.578125,13382882
2021-07-02,73733.4140625,74102.0811328125,73641.24729492188,73733.4140625,8753097
2021-07-05,73825.5778334888,74470.74518034825,73733.41106965175,74102.078125,8330969
2021-07-06,74286.4289755234,74839.4296875,74194.26219019397,74839.4296875,12131651
2021-07-07,74839.42493038366,74931.59170985458,74009.92391514542,74470.7578125,15992202
2021-07-08,74747.25125156446,74839.41802252816,73641.25,73641.25,16660998
2021-07-09,73364.7554313602,73549.0889877204,72811.7547622796,73180.421875,22720577
2021-07-12,73641.2554305207,73733.42220828104,73272.5883194793,73456.921875,9768108
2021-07-13,73733.40382205514,73917.73733161027,73549.0703125,73549.0703125,9863450
2021-07-14,73180.41136006289,73364.74488993711,72903.91106525157,73272.578125,11575636
2021-07-15,73549.09539779778,74286.4296875,73272.59503915944,74286.4296875,13766279
