Price,Open,High,Low,Close,Volume
Ticker,005930.KS,005930.KS,005930.KS,005930.KS,005930.KS
Date,,,,,
2019-04-24,38809.858694134076,39023.56936976257,37741.305315991616,38254.2109375,13299267
2019-04-25,37826.79335368841,38467.92544442889,37698.566935540315,38168.73046875,10868965
2019-04-26,37784.043704710144,38467.91779891304,37442.106657608696,38339.69140625,9739982
2019-04-29,38596.153274817174,39450.99609375,38553.41113387053,39450.99609375,8777517
2019-04-30,39322.76547164667,39579.21828994002,38767.11769867775,39194.5390625,11121273
2019-05-02,38895.34415849673,39450.99193218954,38809.859885620914,39237.28125,8625126
2019-05-03,39237.284587127484,39365.51100734685,38724.37890625,38724.37890625,6562916
2019-05-07,38681.62845335145,38724.37058423913,37955.012228260865,38339.69140625,12014907
2019-05-08,37869.51946504237,38339.68279925847,37784.03522245763,37826.77734375,10398754
2019-05-09,37527.58810917255,37826.78300298145,36288.06640625,36288.06640625,23029718
2019-05-10,36416.2972027972,37142.91346153846,36288.0708041958,36672.75,14579512
2019-05-13,36330.81655737104,36929.20647713951,36202.590145992086,36459.04296875,7635079
2019-05-14,35305.00526633939,36843.72220288687,35305.00526633939,36459.04296875,11563730
2019-05-15,36501.7732447121,36800.96810737368,36373.546875,36373.546875,7670185
2019-05-16,36202.589016433514,36245.33115222624,35347.74630057912,35518.71484375,13687828
2019-05-17,35860.64758419296,35946.13184541869,34920.32071070995,35219.515625,13357951
2019-05-20,35604.19957682292,35988.87880394345,35518.715304129466,35903.39453125,15752397
2019-05-21,36416.297472479724,37570.33506843859,36202.58680656141,36886.4609375,18812133
2019-05-22,37356.62086027299,37442.105118534484,36245.325502873566,37185.65234375,11033339
2019-05-23,37527.58587514253,37613.07012542759,36971.938248289625,37484.84375,12259006
2019-05-24,37442.10816744731,37442.10816744731,36245.32845433255,36501.78125,13966305
2019-05-27,36330.81655737104,36758.23792863423,36202.590145992086,36459.04296875,8066669
2019-05-28,36373.546875,36715.483860898945,36031.609889101055,36373.546875,24506881
2019-05-29,35775.16791735197,35988.87859786184,35305.00442023026,35732.42578125,14930618
2019-05-30,36074.35201233842,36501.7732447121,36031.609889101055,36373.546875,11766018
2019-05-31,36416.30459558823,36587.27316176471,36031.62532169117,36330.8203125,11365999
2019-06-03,36715.496927618435,37527.59755814783,36330.81768157819,37442.11328125,15466580
2019-06-04,37100.17192894131,37356.624730293435,36758.234860471806,37142.9140625,9913497
2019-06-05,37655.835830723234,37784.06228644647,37356.64076736902,37527.609375,12464135
2019-06-07,37271.141261312216,37912.27327842195,37142.914857890275,37784.046875,11683682
2019-06-10,37869.53563581194,38339.69917079381,37655.82493809291,38296.95703125,8792182
2019-06-11,38296.94927536232,38467.91779891304,38083.23862092391,38339.69140625,6664872
2019-06-12,38296.95683856503,38510.6675352088,37869.53544527747,38125.98828125,8607439
2019-06-13,37784.038499999995,37955.007,37100.1645,37399.359375,16906541
2019-06-14,37399.36356977983,37741.3006081321,37014.68440163352,37613.07421875,9322873
2019-06-17,37399.382919276766,37655.835830723234,37100.18785592255,37527.609375,11890424
2019-06-18,37399.36782166009,38040.499841459976,37313.88355235344,37912.2734375,7994928
2019-06-19,38852.59362941015,38852.59362941015,38467.9144845645,38767.109375,10417690
2019-06-20,38339.69598214285,38895.34375,38339.69598214285,38895.34375,7147785
2019-06-21,39109.05854673824,39151.800687226474,38638.895001367615,39066.31640625,9454913
2019-06-24,38638.89093406593,39151.79656593406,38638.89093406593,38895.34375,6085066
2019-06-25,38638.88716419956,39151.79274602522,38638.88716419956,38980.82421875,7076774
2019-06-26,39151.800687226474,39322.76924917943,38980.832125273526,39066.31640625,9226097
2019-06-27,39629.74579973118,40146.65552755376,39414.36674647177,40060.50390625,12603534
2019-06-28,40491.25390625,40491.25390625,40232.799094082446,40491.25390625,12949231
2019-07-01,40792.79342140558,40835.869232832614,39845.12557001073,40146.65625,11383522
2019-07-02,39802.04918918919,40405.11054054054,39500.51851351351,39845.125,8463073
2019-07-03,39414.366611026984,39931.27633707324,38940.53269548458,39112.8359375,9669368
2019-07-04,38983.60508661685,39802.04541440218,38983.60508661685,39629.7421875,6365573
2019-07-05,39586.67363773275,39586.67363773275,38983.612233023,39328.21875,7235395
2019-07-08,38552.850990639075,38595.926801801805,38208.24450133728,38251.3203125,7823843
2019-07-09,38638.995981153,39155.905626385815,38509.76856984479,38854.375,7646421
2019-07-10,39242.06640625,39758.97617230379,39198.990592412185,39242.06640625,9253930
2019-07-11,39931.27821885146,40103.58146898674,39758.97496871618,39802.05078125,10989751
2019-07-12,39931.27502784152,39974.350836933045,39457.44112783477,39888.19921875,5245804
2019-07-15,39586.66383544133,40189.725090823464,39414.360619617866,40017.421875,4717226
2019-07-16,40017.41704742529,40362.0234375,39888.18965114728,40362.0234375,7407824
2019-07-17,39758.97193098534,39931.275167956024,39586.66869401466,39672.8203125,5216602
2019-07-18,40017.42124796638,40017.42124796638,39328.208395471804,39715.890625,5143554
2019-07-19,40189.72571113782,40448.18053886218,40146.649906517094,40318.953125,8819393
2019-07-22,40318.963784427964,40749.72194451801,40146.660520391946,40663.5703125,9009109
2019-07-23,40792.79847301137,40965.10174005682,40534.343572443184,40749.72265625,9061381
2019-07-24,40577.412900727366,40620.48871060075,39845.12413287985,39974.3515625,8756522
2019-07-25,40620.494496490996,40663.5703125,40146.660520391946,40663.5703125,8408838
2019-07-26,40189.726322242845,40620.484375,40103.57471169141,40620.484375,7873886
2019-07-29,40318.95187093275,40534.33088733731,39629.73901843818,39715.890625,6856846
2019-07-30,39888.1951950188,40362.02904722744,39888.1951950188,40103.57421875,5551014
2019-07-31,39802.04654768467,40146.653011300994,38768.227156835725,39069.7578125,12872916
2019-08-01,38682.07251624724,39198.98217125276,38638.996711663436,38940.52734375,7811181
2019-08-02,38380.54587128059,39198.98624339544,38165.16682598721,38725.15234375,12151374
2019-08-05,38208.23925447952,38423.61828071673,37562.10217576792,37863.6328125,14214086
2019-08-06,36614.4445941092,37734.41584051724,36614.4445941092,37475.9609375,15083824
2019-08-07,37562.10648148148,37820.56134259259,37131.34837962963,37217.5,10002533
2019-08-08,37260.57375622802,37475.95279528136,36743.6640625,36743.6640625,16926881
2019-08-09,37260.56174409763,37346.71333194525,37088.25856840237,37174.41015625,9685147
2019-08-12,37906.712671624715,37906.712671624715,37519.03038293764,37648.2578125,8466169
2019-08-13,37475.945494186046,37475.945494186046,37002.111700581394,37045.1875,7276979
2019-08-14,37820.56105191648,38122.0917208953,37475.95457308352,37648.2578125,8750135
2019-08-16,37734.399184937356,37820.55078125,37303.64120337414,37820.55078125,9528115
2019-08-19,38208.242604106934,38208.242604106934,37475.953850702404,37562.10546875,6014218
2019-08-20,37863.6287129148,38423.61412050056,37519.022308246625,38294.38671875,8434205
2019-08-21,38208.24132724719,38595.92359550562,38035.93809691011,38337.46875,6571717
2019-08-22,38337.45951865778,38509.76270750568,37777.474154902106,37949.77734375,8061177
2019-08-23,37734.405396757684,38079.011838737206,37605.17798101536,37863.6328125,5017381
2019-08-26,37088.27156948824,37734.408704845184,37002.119951440654,37562.10546875,7954949
2019-08-27,37605.170966054204,38079.004735385926,37562.09516884223,37949.77734375,16883932
2019-08-28,37992.865594917894,38251.32046291053,37691.33491559315,38035.94140625,5758333
2019-08-29,38079.017677131334,38079.017677131334,37088.27400453629,37389.8046875,10768862
2019-08-30,37691.328014026985,38165.16185191761,37691.328014026985,37906.70703125,9899073
2019-09-02,38639.01018032962,38639.01018032962,37605.19050995291,37734.41796875,7185537
2019-09-03,37519.02906882225,37605.180685513005,37131.34679371387,37260.57421875,9774941
2019-09-04,37260.5745331987,37992.86328125,37174.422915780895,37992.86328125,12441837
2019-09-05,38595.91684901532,39715.88765043764,38294.386248632385,39371.28125,18297430
2019-09-06,40060.50245511609,40060.50245511609,39500.516936926295,39888.19921875,9896562
2019-09-09,40017.42322011594,40491.257079557574,39888.195803904586,40405.10546875,9434157
2019-09-10,40577.40551030585,40663.5571143617,40103.57168799867,40491.25390625,9231792
2019-09-11,40749.71179082715,40835.86340137858,40318.95373806999,40620.484375,16141619
2019-09-16,40491.26244028663,40577.4140625,39974.35270700637,40577.4140625,15550926
2019-09-17,40491.257079557574,40577.40869036514,40318.95385794243,40405.10546875,7006280
2019-09-18,40405.103552476416,41094.31640625,40318.95194575472,41094.31640625,10413027
2019-09-19,41395.84793044253,42386.59142929807,41223.54471325026,42343.515625,16461413
2019-09-20,42558.900898755084,42731.20414126017,42300.44603499746,42386.59765625,15460210
2019-09-23,42429.67028635269,42472.74609375,42214.29124936612,42472.74609375,7568553
2019-09-24,42257.360759943185,42774.270371685605,42085.057556029045,42645.04296875,7871955
2019-09-25,42386.599405674846,42515.82684288727,42041.99290644172,42128.14453125,9187141
2019-09-26,42214.29441374492,42429.67346687627,42128.14279249238,42386.59765625,8494756
2019-09-27,41652.46642561984,42259.898227660124,41652.46642561984,41999.5703125,8048041
2019-09-30,41695.84975471458,42737.16129905709,41565.68581167176,42563.609375,9497119
2019-10-01,42433.45048618219,42607.00243091095,42216.51055527124,42390.0625,6206035
2019-10-02,41956.198952041756,41999.586955094535,41305.37890625,41305.37890625,8382463
2019-10-04,41131.812890625,42216.51259765625,41088.42490234375,41652.46875,9331695
2019-10-07,41956.17922938482,42259.895107984295,41348.74747218587,41435.5234375,7047273
2019-10-08,41565.69717376022,42520.23301699897,41305.36921651329,42433.45703125,14239367
2019-10-10,41826.022351313084,42693.78215113285,41652.470391349125,42129.73828125,18639855
2019-10-11,42520.23834880468,42910.73033364064,42346.686355544254,42650.40234375,7783275
2019-10-14,43387.9765625,43648.304421875,43257.8126328125,43387.9765625,11130635
2019-10-15,43301.21366641716,43561.541604291415,43301.21366641716,43474.765625,6058105
2019-10-16,43995.421875,44168.97383505917,43735.093934911245,43995.421875,9136282
2019-10-17,43821.859375,43908.63533415841,43474.755538366335,43821.859375,6701380
2019-10-18,43648.31089522796,44168.96669119489,43084.26711626378,43301.20703125,8483106
2019-10-21,43301.21249844682,43735.0923832008,43214.43652149603,43648.31640625,4406531
2019-10-22,44082.196868896484,44689.62871551514,43995.420890808105,44429.30078125,10898729
2019-10-23,44516.07675933838,44689.62871551514,44082.196868896484,44429.30078125,8663880
2019-10-24,45557.389515532544,45557.389515532544,43821.86991494083,43995.421875,21185785
2019-10-25,44082.19277996071,44429.29666011788,43821.86486984283,44168.96875,7879897
2019-10-28,43995.410658808476,44689.61832206384,43995.410658808476,44516.06640625,6431522
2019-10-29,44602.84743456458,44863.17533787916,44082.19162793542,44342.51953125,7581629
2019-10-30,43995.42168898809,44082.19766865079,43561.5417906746,43735.09375,8959435
2019-10-31,44255.74962797619,44602.85354662698,43648.3177703373,43735.09375,10304777
2019-11-01,43908.64491271973,44429.30078125,43735.09295654297,44429.30078125,8467846
2019-11-04,44863.1762144479,45383.83203125,44602.84830604685,45383.83203125,13012411
2019-11-05,45470.60569852941,45730.93359375,45210.277803308825,45730.93359375,10581034
2019-11-06,45904.49761081145,46425.15353834428,45730.94563496717,46251.6015625,14361133
2019-11-07,46338.3641895085,46338.3641895085,45470.60456049149,45904.484375,9257116
2019-11-08,46164.82092730326,46251.596906489925,45123.50917706334,45210.28515625,11603290
2019-11-11,45297.05818495639,45297.05818495639,44602.8503966812,44776.40234375,8185952
2019-11-12,44949.94855038023,45644.15625,44776.39662547528,45644.15625,6576148
2019-11-13,45557.390625,45557.390625,45123.510714285716,45557.390625,6225196
2019-11-14,45036.72722833807,45817.7109375,45036.72722833807,45817.7109375,12010018
2019-11-15,45904.49525721602,46598.703125,45644.167306797026,46598.703125,9703360
2019-11-18,46511.93224299065,46685.48422897196,46164.82827102804,46425.15625,7746554
2019-11-19,46164.82827102804,46425.15625,45730.948306074766,46425.15625,8907177
2019-11-20,46338.371484375,46338.371484375,45123.5078125,45123.5078125,12560070
2019-11-21,44776.397977941175,45210.277803308825,43908.63832720588,44255.7421875,14298646
2019-11-22,44255.7465025436,44776.40234375,44168.9705290092,44776.40234375,8478310
2019-11-25,45297.05701013513,45644.160895270266,44863.17715371621,44949.953125,9050625
2019-11-26,45036.72909628378,45904.48880912162,44949.953125,44949.953125,27372226
2019-11-27,44949.95857279694,45383.83848180077,44776.40660919541,45297.0625,7546261
2019-11-28,45036.72215369152,45210.27406950536,44516.06640625,44516.06640625,6833885
2019-11-29,44429.300198807156,44602.85215270875,43561.5404292992,43648.31640625,11179334
2019-12-02,44168.97364831349,44516.07756696428,43735.09375,43735.09375,18877252
2019-12-03,43214.431065255514,43648.31089522796,42954.10316727204,43301.20703125,12059812
2019-12-04,43040.88270980789,43257.82264282103,42520.22687057634,42910.71875,13246549
2019-12-05,43561.537263257575,43735.08920454545,42954.10546875,42954.10546875,10449715
2019-12-06,43474.7658110119,44168.97364831349,43344.601841517855,43735.09375,11414563
2019-12-09,44168.97284698486,44602.85273742676,43995.420890808105,44429.30078125,8470627
2019-12-10,44255.75288228156,44776.40879854369,43995.42492415049,44689.6328125,6882771
2019-12-11,44689.622696893064,45297.0544617052,44602.84673049133,45036.7265625,11379521
2019-12-12,45991.273598733584,46251.6015625,45730.94563496717,46251.6015625,29178697
2019-12-13,47292.916761882996,47553.2447440585,46772.26079753199,47466.46875,18120261
2019-12-16,47292.916761882996,47640.020738117004,47119.364773766,47466.46875,11512405
2019-12-17,48420.99280753968,49201.9765625,48073.88891644621,49201.9765625,19358433
2019-12-18,49201.98677564387,49635.86672957371,48594.5548401421,48854.8828125,15558208
2019-12-19,49462.30266462053,49722.6305733817,48160.66312081473,48594.54296875,14180520
2019-12-20,48681.318938337055,49028.42281668527,48247.439090401786,48594.54296875,12095519
2019-12-23,48681.33173564189,48941.65971283784,47813.571811655405,48160.67578125,9839252
2019-12-24,48247.4330965909,48334.209055397725,47553.22542613636,47726.77734375,11868463
2019-12-26,47466.46265089125,48073.89453125,47206.13470216606,48073.89453125,9645034
2019-12-27,48645.05817892699,49693.066613661504,48470.39010647124,49343.73046875,12313056
2019-12-30,49081.726758512545,49431.06289202509,48645.05659162186,48732.390625,8356767
2020-01-02,48470.384893002716,48907.05502717391,48033.71475883152,48208.3828125,12993228
2020-01-03,48907.060810810806,49431.06503378378,47946.38640202703,48470.390625,15422255
2020-01-06,47946.38640202703,48557.72466216216,47684.38429054054,48470.390625,10278951
2020-01-07,48645.05659162186,49256.39482526881,48557.722558243724,48732.390625,10009778
2020-01-08,49081.730138644365,50129.738611355635,48819.72802046655,49605.734375,23501171
2020-01-09,51003.07801834471,51177.74609375,50129.73764131826,51177.74609375,24102579
2020-01-10,51352.40790441177,52138.41414784664,50915.73776917017,51963.74609375,16000170
2020-01-13,52051.077968749996,52400.4140625,51614.4078515625,52400.4140625,11359139
2020-01-14,52749.75015625,53273.754296875,52313.0800390625,52400.4140625,16906295
2020-01-15,51963.75615730932,52051.09020127119,51439.75189353814,51527.0859375,14300928
2020-01-16,51614.40948697488,53011.75390625,51527.07546077018,53011.75390625,14381774
